#net sta compBase lo la dep nameMode
hima3 14837 BH 113.22982 39.16893 1356.0 hima23
hima3 14838 BH 113.50584 39.167249999999996 1226.0 hima23
hima3 14839 BH 114.12303 39.16896 1425.0 hima23
hima3 14821 BH 112.10163 38.20067 1441.0 hima23
hima3 14822 BH 112.35283 38.19165 882.0 hima23
hima3 14823 BH 112.58689 38.17013 1254.0 hima23
hima3 14824 BH 113.23911 38.20298 816.0 hima23
hima3 14825 BH 111.18406 38.39446 1144.0 hima23
hima3 14826 BH 111.43229 38.399319999999996 1590.0 hima23
hima3 14827 BH 112.07530000000001 38.38563 1564.0 hima23
hima3 14828 BH 112.34182000000001 38.3841 889.0 hima23
hima3 14829 BH 112.59034 38.38866 839.0 hima23
hima3 14830 BH 113.25376 38.385169999999995 1135.0 hima23
hima3 14831 BH 111.18257 38.58059 1163.0 hima23
hima3 14832 BH 111.44535 38.57512 1475.0 hima23
hima 15695 BH 108.677356 40.363272 1222.032683 hima23
hima 15700 BH 108.913169 42.064103 1392.743013 hima23
hima 15696 BH 108.779644 41.176328 1042.728612 hima23
hima 15698 BH 108.833153 41.486496 1274.805063 hima23
hima 15699 BH 108.883235 41.833685 1736.794683 hima23
hima 15732 BH 108.675247 38.004855 1221.479796 hima23
hima 15697 BH 108.863827 42.356228 1233.220469 hima23
hima 15754 BH 110.474503 42.645401 1060.0 hima23
hima 15751 BH 110.0065 42.2654 1175.0 hima23
hima 15752 BH 110.044899 41.8311 1548.0 hima23
hima 15753 BH 110.039902 41.5098 1502.0 hima23
hima 15757 BH 110.893997 43.107399 1136.0 hima23
hima 15764 BH 111.293999 42.2337 1168.0 hima23
hima 15747 BH 109.608101 42.240398 1192.0 hima23
hima 15748 BH 109.599899 41.8326 1634.0 hima23
hima 15767 BH 111.732597 43.054199 1070.0 hima23
hima 15746 BH 109.201599 41.509602 1510.0 hima23
hima 15744 BH 109.194504 42.230701 1246.0 hima23
hima 15769 BH 111.708504 42.249401 1314.0 hima23
hima 15755 BH 110.429001 42.233799 1164.0 hima23
hima 15749 BH 109.621803 41.5135 1619.0 hima23
hima 15768 BH 111.731903 42.678699 1188.0 hima23
hima 15762 BH 111.325104 43.1152 1040.0 hima23
hima 15765 BH 111.2976 41.8251 1540.0 hima23
hima 15759 BH 110.897003 42.229 1169.0 hima23
hima 15770 BH 111.713799 41.851898 1441.0 hima23
hima 15750 BH 110.036102 42.610001 1304.0 hima23
hima 15763 BH 111.343399 42.652302 1051.0 hima23
hima 15766 BH 111.2957 41.522701 1631.0 hima23
hima 15760 BH 110.847702 41.833801 1420.0 hima23
hima 15758 BH 110.859596 42.658699 1092.0 hima23
hima 15761 BH 110.851196 41.525299 1515.0 hima23
hima 15756 BH 110.461998 41.522202 1481.0 hima23
hima 15745 BH 109.217598 41.820099 1655.0 hima23
